,id,name,short_name,square,population,population_density,square_housing_stock,living_square_per_person
107,108,Фили-Давыдково,ЗАО,"6,96",113 818,16353.16,"2388,6","21,3"
108,109,Хамовники,ЦАО,"10,08",108 740,10787.7,"2559,6","24,8"
109,110,Ховрино,САО,"5,73",87 711,15307.33,"2450,2","30,2"
110,111,Хорошёво-Мнёвники,СЗАО,"17,18",175 924,10240.05,2918,"17,8"
111,112,Хорошёвский,САО,"9,88",70 970,7183.2,2182,"38,2"
112,113,Царицыно,ЮАО,"8,43",128 286,15217.79,"1836,9","14,9"
113,114,Черёмушки,ЮЗАО,"5,52",110 448,20008.7,"1656,7","16,3"
114,115,Чертаново Северное,ЮАО,"5,4",112 716,20873.33,"1899,5","17,2"
115,116,Чертаново Центральное,ЮАО,"6,52",115 194,17667.79,2907,26
116,117,Чертаново Южное,ЮАО,"9,38",149 210,15907.25,"2192,8","15,4"
117,118,Щукино,СЗАО,"7,69",110 653,14389.21,2062,"20,1"
118,119,Южное Бутово,ЮЗАО,"25,54",208 355,8157.99,4195,"23,4"
119,120,Южное Медведково,СВАО,"3,88",86 391,22265.72,"1355,3","16,3"
120,121,Южное Тушино,СЗАО,"7,94",108 872,13711.84,"1714,9","16,9"
121,122,Южнопортовый,ЮВАО,"4,53",74 508,16447.68,1449,"20,6"
122,123,Якиманка,ЦАО,"4,8",27 791,5789.79,"788,7","29,8"
123,124,Ярославский,СВАО,"7,99",97 502,12203.0,"1404,5","15,3"
124,125,Ясенево,ЮЗАО,"25,37",179 169,7062.24,"2969,3","16,4"
